timestamp,elapsed_seconds,bga1_primary_gas_pct,bga1_secondary_gas_pct,bga1_remaining_gas_pct,bga1_primary_gas_type,bga1_secondary_gas_type,bga1_remaining_gas_type,bga2_primary_gas_pct,bga2_secondary_gas_pct,bga2_remaining_gas_pct,bga2_primary_gas_type,bga2_secondary_gas_type,bga2_remaining_gas_type,bga3_primary_gas_pct,bga3_secondary_gas_pct,bga3_remaining_gas_pct,bga3_primary_gas_type,bga3_secondary_gas_type,bga3_remaining_gas_type,purge_mode
2025-07-07 15:59:55.734,35.316,13.122,86.878,0.0,H2,O2,N2,0.0,0.0,0.0,H2,O2,N2,12.024,87.976,0.0,H2,O2,N2,False
2025-07-07 15:59:56.735,36.318,13.122,86.878,0.0,H2,O2,N2,0.0,0.0,0.0,H2,O2,N2,12.024,87.976,0.0,H2,O2,N2,False
2025-07-07 15:59:57.742,37.325,13.122,86.878,0.0,H2,O2,N2,0.0,0.0,0.0,H2,O2,N2,12.024,87.976,0.0,H2,O2,N2,False
2025-07-07 15:59:58.752,38.334,13.122,86.878,0.0,H2,O2,N2,0.0,0.0,0.0,H2,O2,N2,12.024,87.976,0.0,H2,O2,N2,False
2025-07-07 15:59:59.759,39.341,13.122,86.878,0.0,H2,O2,N2,0.0,0.0,0.0,H2,O2,N2,12.024,87.976,0.0,H2,O2,N2,False
2025-07-07 16:00:00.770,40.352,13.122,86.878,0.0,H2,O2,N2,0.0,0.0,0.0,H2,O2,N2,12.024,87.976,0.0,H2,O2,N2,False
2025-07-07 16:00:01.775,41.358,13.122,86.878,0.0,H2,O2,N2,0.0,0.0,0.0,H2,O2,N2,12.024,87.976,0.0,H2,O2,N2,False
2025-07-07 16:00:02.784,42.367,13.122,86.878,0.0,H2,O2,N2,0.0,0.0,0.0,H2,O2,N2,12.024,87.976,0.0,H2,O2,N2,False
2025-07-07 16:00:03.795,43.377,13.122,86.878,0.0,H2,O2,N2,0.0,0.0,0.0,H2,O2,N2,12.024,87.976,0.0,H2,O2,N2,False
2025-07-07 16:00:04.812,44.395,13.122,86.878,0.0,H2,O2,N2,0.0,0.0,0.0,H2,O2,N2,12.024,87.976,0.0,H2,O2,N2,False
2025-07-07 16:00:05.818,45.401,13.122,86.878,0.0,H2,O2,N2,0.0,0.0,0.0,H2,O2,N2,12.024,87.976,0.0,H2,O2,N2,False
2025-07-07 16:00:06.819,46.401,13.121,86.879,0.0,H2,O2,N2,0.0,0.0,0.0,H2,O2,N2,12.024,87.976,0.0,H2,O2,N2,False
2025-07-07 16:00:07.820,47.403,13.121,86.879,0.0,H2,O2,N2,0.0,0.0,0.0,H2,O2,N2,12.024,87.976,0.0,H2,O2,N2,False
2025-07-07 16:00:08.829,48.412,13.121,86.879,0.0,H2,O2,N2,0.0,0.0,0.0,H2,O2,N2,12.024,87.976,0.0,H2,O2,N2,False
2025-07-07 16:00:09.833,49.416,13.121,86.879,0.0,H2,O2,N2,0.0,0.0,0.0,H2,O2,N2,12.024,87.976,0.0,H2,O2,N2,False
2025-07-07 16:00:10.835,50.417,13.121,86.879,0.0,H2,O2,N2,0.0,0.0,0.0,H2,O2,N2,12.024,87.976,0.0,H2,O2,N2,False
2025-07-07 16:00:11.840,51.423,13.121,86.879,0.0,H2,O2,N2,0.0,0.0,0.0,H2,O2,N2,12.024,87.976,0.0,H2,O2,N2,False
2025-07-07 16:00:12.842,52.424,13.121,86.879,0.0,H2,O2,N2,0.0,0.0,0.0,H2,O2,N2,12.024,87.976,0.0,H2,O2,N2,False
